id,date,time,A,B,C,D,E,F,G,H
111414,1/2/2022,11:20:04,1943,751,1813,752,1616,755,11941,0
111415,1/2/2022,11:50:07,1941,751,1820,752,1620,754,11947,1458
111416,1/2/2022,12:10:00,1937,751,1823,752,1617,758,11955,1455
111417,1/2/2022,12:20:00,1937,750,1826,752,1618,754,11964,1459
111418,1/2/2022,12:40:00,1932,748,1832,752,1619,756,11943,1459
111419,1/2/2022,12:50:01,1932,750,1833,752,1616,754,11942,1451
111420,1/2/2022,13:10:01,1931,751,1837,752,1612,752,11942,1454
111421,1/2/2022,13:20:01,1930,751,1837,752,1616,752,11948,1460
111422,1/2/2022,13:40:00,1927,747,1842,752,1607,752,11942,1453
111423,1/2/2022,13:50:00,1927,750,1842,752,1611,757,11942,1459
111424,1/2/2022,14:20:00,1922,749,1852,752,1599,752,11942,1439
111425,1/2/2022,14:40:00,1922,750,1852,752,1592,756,11942,1442
111426,1/2/2022,15:10:04,1919,749,1857,752,1582,754,11942,1449
111427,1/2/2022,15:20:01,1921,748,1862,752,1580,754,11943,1445
111428,1/2/2022,15:40:08,1917,748,1862,752,1578,756,11942,1457
111429,1/2/2022,15:50:00,1917,749,1867,752,1581,756,11942,1460
111430,1/2/2022,16:10:00,1917,751,1867,752,1577,754,11942,1455
111431,1/2/2022,16:20:00,1913,751,1869,752,1577,753,11942,1456
111432,1/2/2022,16:30:03,0,0,0,0,0,0,0,0
111433,1/2/2022,16:40:07,1912,749,1872,752,1581,756,11942,1461
111434,1/2/2022,16:50:07,1912,748,1872,752,1582,754,11942,1464
111435,1/2/2022,17:10:00,1912,749,1874,752,1583,756,11942,1465
111436,1/2/2022,17:20:01,0,0,0,0,0,0,0,0
111437,1/2/2022,17:40:00,0,0,0,0,0,0,0,0
111438,1/2/2022,17:50:00,1910,750,1882,752,1585,756,11941,0
111439,1/2/2022,18:10:00,1907,751,1882,752,1587,755,11940,1483
111440,1/2/2022,18:20:00,1907,749,1882,752,1582,756,11928,1483
111441,1/2/2022,18:40:03,1907,750,1884,752,1582,755,11927,1488
111442,1/2/2022,18:50:02,1907,751,1887,752,1583,756,11940,1483
111443,1/2/2022,19:10:00,1906,750,1887,752,1587,755,11914,1484
111444,1/2/2022,19:20:01,1905,748,1887,752,1587,756,11931,1488
111445,1/2/2022,19:40:01,1902,748,1891,752,1591,757,11909,1488
111446,1/2/2022,19:50:02,1902,751,1892,752,1591,756,11940,1488
111447,1/2/2022,20:10:00,1902,751,1892,752,1592,754,11920,1489
111448,1/2/2022,20:20:00,1902,751,1892,752,1592,754,11930,1491
111449,1/2/2022,20:40:02,1902,749,1893,752,1593,756,11915,1489
111450,1/2/2022,21:10:00,1900,751,1896,752,1593,755,11892,1491
111451,1/2/2022,21:20:04,1901,750,1896,752,1596,754,11926,1488
111452,1/2/2022,21:40:01,1901,751,1896,752,1596,756,11922,1490
111453,1/2/2022,21:50:09,1898,748,1897,752,1596,755,11906,1493
111454,1/2/2022,22:10:00,1901,750,1901,752,1597,753,11899,1491
111455,1/2/2022,22:20:00,1897,751,1897,752,1599,756,11892,1489
111456,1/2/2022,22:40:01,1897,751,1899,752,1601,754,11903,1493
111457,1/2/2022,23:10:02,1897,751,1901,752,1602,758,11905,1493
111458,1/2/2022,23:20:06,1897,749,1901,752,1604,756,11912,1493
111459,1/2/2022,23:40:00,1897,751,1905,752,1604,755,11893,1491
111460,1/2/2022,23:50:00,1897,751,1902,752,1605,756,11926,1493
111461,1/3/2022,0:10:00,1895,750,1906,752,1606,757,11905,1494
111462,1/3/2022,0:40:00,1895,749,1905,752,1609,755,11934,1496
111463,1/3/2022,0:50:00,1896,751,1906,752,1609,756,11892,1498
111464,1/3/2022,1:10:00,1895,751,1906,752,1611,756,11901,1498
111465,1/3/2022,1:20:07,1893,748,1906,752,1610,755,11897,1498
111466,1/3/2022,1:40:00,1893,749,1906,752,1611,754,11924,1498
111467,1/3/2022,1:50:00,1893,749,1906,752,1611,755,11937,1499
111468,1/3/2022,2:10:03,1893,751,1909,752,1611,758,11927,1499
111469,1/3/2022,2:20:09,1893,751,1910,752,1612,756,11931,1499
111470,1/3/2022,2:40:00,1893,751,1908,752,1612,756,11901,1498
111471,1/3/2022,2:50:00,1893,748,1907,752,1616,756,11928,1503
111472,1/3/2022,3:10:01,1893,748,1911,752,1616,753,11890,1503
111473,1/3/2022,3:20:06,1892,749,1908,752,1616,753,11940,1503
111474,1/3/2022,3:40:01,1892,751,1911,752,1616,756,11938,1502
111475,1/3/2022,3:50:00,1892,751,1911,752,1616,758,11933,1503
111476,1/3/2022,4:00:17,0,0,0,0,0,0,0,0
111477,1/3/2022,4:10:01,1892,748,1911,752,1616,755,11889,1502
111478,1/3/2022,4:20:12,0,0,0,0,0,0,0,0
111479,1/3/2022,4:40:01,1889,750,1911,752,1618,757,11912,1503
111480,1/3/2022,4:50:00,1890,749,1910,752,1618,756,11907,1502
111481,1/3/2022,5:10:00,1889,751,1911,752,1621,754,11913,1503
111482,1/3/2022,5:20:00,1891,751,1911,752,1621,754,11888,1501
111483,1/3/2022,5:40:00,1888,748,1911,752,1621,756,11926,1501
111484,1/3/2022,5:50:00,1888,751,1911,752,1625,755,11937,1506
111485,1/3/2022,6:10:01,1888,751,1911,752,1622,759,11900,1506
111486,1/3/2022,6:20:01,1888,748,1911,752,1622,755,11908,1505
111487,1/3/2022,6:30:17,0,0,0,0,0,0,0,0
111488,1/3/2022,6:40:01,1888,751,1911,752,1626,754,11889,1504
111489,1/3/2022,6:50:00,1888,748,1911,752,1626,753,11918,1508
111490,1/3/2022,7:10:02,1888,751,1911,752,1626,754,11925,1513
111491,1/3/2022,7:20:00,1888,747,1911,752,1626,755,11927,1513
111492,1/3/2022,7:40:04,1888,747,1915,752,1626,754,11910,1508
111493,1/3/2022,7:50:06,1888,751,1915,752,1625,755,11937,1503
111494,1/3/2022,8:00:00,0,0,0,0,0,0,0,0
111495,1/3/2022,8:10:00,0,0,0,0,0,0,0,0
111496,1/3/2022,8:20:01,1888,751,1913,752,1621,755,11939,1494
111497,1/3/2022,8:40:02,1888,748,1916,752,1617,756,11897,1485
111498,1/3/2022,8:50:09,1888,749,1914,749,1612,756,11937,1484
111499,1/3/2022,9:10:08,1888,749,1915,751,1612,754,11938,1477
111500,1/3/2022,9:20:00,1888,749,1916,751,1612,756,11931,1475
111501,1/3/2022,9:40:00,1888,748,1916,751,1606,755,11940,1469
111502,1/3/2022,9:50:01,1888,750,1916,750,1605,756,11900,1471
111503,1/3/2022,10:10:00,1888,747,1916,751,1606,755,11906,1468
